PG-BSM Model Fit Output - 05-Aug-2020

Branch Length Estimates

Daughter    Nul    BW    CW    rCW    nulRaMoSS    altRaMoSS    Parent
1	1.41	1.41	1.41	1.41	1.37	1.42	17
2	1.15	1.15	1.15	1.15	1.12	1.15	16
3	1.73	1.74	1.73	1.73	1.7	1.73	16
4	0.22	0.22	0.22	0.22	0.21	0.22	20
5	0.25	0.25	0.25	0.25	0.25	0.25	19
6	0.08	0.08	0.08	0.08	0.08	0.08	18
7	0.04	0.04	0.04	0.04	0.04	0.04	18
8	0.29	0.29	0.29	0.29	0.29	0.29	22
9	0.35	0.36	0.35	0.35	0.35	0.35	22
10	0.87	0.87	0.87	0.87	0.85	0.87	25
11	0.14	0.14	0.14	0.14	0.14	0.14	24
12	0.05	0.05	0.05	0.05	0.05	0.05	23
13	0.06	0.06	0.06	0.06	0.05	0.06	23
14	0.71	0.71	0.7	0.71	0.69	0.71	26
15	0.76	0.76	0.76	0.76	0.75	0.77	26
16	0.35	0.35	0.35	0.35	0.36	0.35	17
17	2.08	2.01	2.08	2.08	2.12	2.14	21
18	0.23	0.23	0.23	0.23	0.23	0.23	19
19	0.03	0.03	0.03	0.03	0.04	0.03	20
20	1.35	1.36	1.35	1.35	1.36	1.38	21
21	0.23	0.23	0.23	0.23	0.21	0.22	29
22	0.37	0.37	0.37	0.37	0.34	0.36	28
23	0.1	0.1	0.1	0.1	0.1	0.1	24
24	0.43	0.43	0.43	0.43	0.42	0.43	25
25	0.17	0.17	0.17	0.17	0.17	0.16	27
26	0.1	0.1	0.1	0.1	0.1	0.1	27
27	0.07	0.07	0.07	0.07	0.08	0.06	28
28	0.23	0.23	0.23	0.23	0.21	0.22	29

Log Likelihoods

Nul: -28715
BW: -28715
CW: -28715
rCW: -28715
nulRaMoSS: -28752
altRaMoSS: -28690

Nul PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda
0.22	0.04	0.4	0.68	0.2	2.13	0.5	

BW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piBW
0.22	0.04	0.4	0.68	0.2	2.13	0.5	0.01	

CW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piCW
0.22	0.04	0.4	0.68	0.2	2.13	0.5	0	

rCW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     pirCW
0.22	0.04	0.4	0.68	0.2	2.13	0.5	0	

nulRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.71	0	0.45	0.7	0.05	0.16	0.5	0	2.09	

altRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.63	0	0.44	0.76	0	0.37	0.64	0.79	2.13	

BW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(BW)
674	0.000		0.664		0.336		
96	0.000		0.664		0.336		
216	0.000		0.674		0.326		
624	0.000		0.714		0.286		
776	0.000		0.765		0.235		
1036	0.000		0.867		0.133		
629	0.000		0.886		0.114		
93	0.000		0.886		0.114		
106	0.000		0.892		0.108		
160	0.000		0.901		0.099		
689	0.000		0.912		0.088		
1054	0.000		0.918		0.082		
652	0.000		0.919		0.081		
325	0.000		0.919		0.081		
621	0.000		0.919		0.081		
406	0.000		0.92		0.08		
575	0.000		0.922		0.078		
702	0.000		0.928		0.072		
934	0.000		0.929		0.071		
294	0.000		0.932		0.068		
785	0.000		0.932		0.068		
319	0.000		0.932		0.068		
1072	0.000		0.933		0.067		
464	0.000		0.935		0.065		
919	0.000		0.935		0.065		
327	0.000		0.936		0.064		
775	0.000		0.937		0.063		
377	0.000		0.937		0.063		
1040	0.000		0.938		0.062		
710	0.000		0.939		0.061		
167	0.000		0.94		0.06		
210	0.000		0.942		0.058		
53	0.000		0.943		0.057		
881	0.000		0.945		0.055		
52	0.000		0.945		0.055		
94	0.000		0.946		0.054		
205	0.000		0.948		0.052		
1004	0.000		0.949		0.051		
211	0.000		0.949		0.051		
263	0.000		0.95		0.05		
808	0.000		0.951		0.049		
367	0.000		0.953		0.047		
159	0.000		0.953		0.047		
966	0.000		0.955		0.045		
911	0.000		0.956		0.044		
995	0.000		0.956		0.044		
921	0.000		0.957		0.043		
996	0.000		0.957		0.043		
335	0.000		0.957		0.043		
328	0.000		0.957		0.043		
95	0.000		0.958		0.042		
162	0.000		0.958		0.042		
4	0.000		0.958		0.042		
561	0.000		0.959		0.041		
1017	0.000		0.959		0.041		
241	0.000		0.96		0.04		
293	0.000		0.96		0.04		
184	0.000		0.96		0.04		
369	0.000		0.961		0.039		
30	0.000		0.961		0.039		
1062	0.000		0.961		0.039		
503	0.000		0.961		0.039		
596	0.000		0.965		0.035		
58	0.000		0.965		0.035		
920	0.000		0.966		0.034		
653	0.000		0.966		0.034		
1006	0.000		0.967		0.033		
571	0.000		0.967		0.033		
774	0.000		0.967		0.033		
109	0.000		0.967		0.033		
119	0.000		0.968		0.032		
408	0.000		0.968		0.032		
849	0.000		0.968		0.032		
914	0.000		0.969		0.031		
104	0.000		0.969		0.031		
761	0.000		0.97		0.03		
161	0.000		0.971		0.029		
572	0.000		0.971		0.029		
243	0.000		0.972		0.028		
558	0.000		0.974		0.026		
120	0.000		0.975		0.025		
771	0.000		0.976		0.024		
960	0.000		0.977		0.023		
203	0.000		0.977		0.023		
916	0.000		0.977		0.023		
725	0.000		0.977		0.023		
245	0.000		0.978		0.022		
706	0.000		0.979		0.021		
102	0.000		0.979		0.021		
213	0.000		0.98		0.02		
698	0.000		0.981		0.019		
59	0.000		0.981		0.019		
453	0.000		0.981		0.019		
423	0.000		0.981		0.019		
