PG-BSM Model Fit Output - 04-Aug-2020

Branch Length Estimates

Daughter    Nul    BW    CW    rCW    nulRaMoSS    altRaMoSS    Parent
1	0.31	0.33	0.31	0.31	0.24	0.31	9
2	0.25	0.27	0.26	0.25	0.22	0.24	9
3	0.76	0.5	0.48	0.76	0.6	0.72	10
4	0.07	0.16	0.15	0.07	0.1	0.08	10
5	0.25	0.25	0.16	0.25	0.21	0.26	12
6	0.29	0.35	0.26	0.29	0.3	0.32	12
7	0.44	0.46	0.44	0.44	0.37	0.46	13
8	0.36	0.4	0.38	0.36	0.25	0.35	13
9	0.57	0.66	0.64	0.57	0.42	0.58	11
10	0.81	0.87	0.91	0.81	0.54	0.7	11
11	0.73	0.87	1	0.73	0.54	0.71	15
12	1.41	0.7	0.68	1.41	1.09	1.37	14
13	0.18	0.45	0.46	0.18	0.14	0.27	14
14	0.73	0.87	1	0.73	0.54	0.71	15

Log Likelihoods

Nul: -4129
BW: -4096
CW: -4087
rCW: -4129
nulRaMoSS: -4149
altRaMoSS: -4139

Nul PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda
0.57	0.08	2.78	0.82	0.24	3.29	0.54	

BW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piBW
0.54	0.05	2.52	0.8	0.19	3.4	0.53	0.09	

CW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piCW
0.48	0.03	1.66	0.79	0.11	3.35	0.51	0.11	

rCW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     pirCW
0.57	0.08	2.78	0.82	0.24	3.29	0.51	0	

nulRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.72	0.1	1.28	0.89	0	0.41	0.77	0	2.7	

altRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.77	0.18	0.85	0.73	0	5.2	0.96	0.06	3.25	

BW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(BW)
10	0.000		0.002		0.998		
4	0.000		0.002		0.998		
23	0.000		0.005		0.995		
11	0.000		0.007		0.993		
6	0.000		0.007		0.993		
1	0.000		0.008		0.992		
3	0.000		0.013		0.987		
12	0.000		0.035		0.965		
17	0.000		0.039		0.961		
8	0.000		0.045		0.955		
13	0.000		0.046		0.954		
24	0.000		0.058		0.942		
19	0.000		0.064		0.936		
20	0.000		0.072		0.928		
178	0.000		0.074		0.926		
5	0.000		0.082		0.918		
28	0.000		0.084		0.916		
18	0.000		0.087		0.913		
2	0.000		0.131		0.869		
262	0.000		0.184		0.816		
30	0.000		0.292		0.708		
26	0.000		0.469		0.531		
21	0.000		0.503		0.497		
9	0.000		0.61		0.39		
233	0.000		0.644		0.356		
123	0.000		0.678		0.322		
258	0.000		0.678		0.322		
60	0.000		0.688		0.312		
69	0.000		0.83		0.17		
174	0.000		0.831		0.169		
243	0.000		0.833		0.167		
298	0.000		0.867		0.133		
89	0.000		0.871		0.129		
221	0.000		0.88		0.12		
27	0.000		0.882		0.118		
109	0.000		0.895		0.105		
166	0.000		0.911		0.089		
22	0.000		0.918		0.082		
7	0.000		0.927		0.073		
240	0.000		0.933		0.067		
29	0.000		0.934		0.066		
66	0.000		0.955		0.045		
16	0.000		0.959		0.041		
183	0.784		0.179		0.037		
142	0.000		0.969		0.031		
300	0.000		0.971		0.029		
50	0.000		0.974		0.026		
75	0.000		0.977		0.023		
208	0.000		0.981		0.019		
58	0.000		0.982		0.018		
267	0.000		0.982		0.018		
130	0.000		0.982		0.018		
42	0.000		0.983		0.017		
189	0.000		0.983		0.017		
138	0.000		0.983		0.017		
98	0.000		0.983		0.017		
148	0.000		0.983		0.017		
131	0.000		0.984		0.016		
289	0.000		0.984		0.016		
143	0.000		0.985		0.015		
245	0.000		0.986		0.014		
144	0.000		0.987		0.013		
88	0.000		0.987		0.013		
263	0.000		0.988		0.012		
282	0.000		0.988		0.012		
164	0.000		0.989		0.011		
195	0.000		0.989		0.011		
190	0.805		0.185		0.011		
